artist_spotify_id,award_id,award_year
4ssUf5gLb1GBLxi1BhPrVt,122,2022
4ssUf5gLb1GBLxi1BhPrVt,123,2011
4ssUf5gLb1GBLxi1BhPrVt,18,2005
4TMHGUX5WI7OOm53PqSDAT,13,2007
0JDkhL4rjiPNEp92jAgJnS,13,1998
59r5UU2HOytn9V5uMZ5Vur,100,2013
59r5UU2HOytn9V5uMZ5Vur,100,2017
59r5UU2HOytn9V5uMZ5Vur,106,2006
5IFCkqu9J6xdWeYMk5I889,31,1994
5IFCkqu9J6xdWeYMk5I889,40,2008
5IFCkqu9J6xdWeYMk5I889,56,2019
5IFCkqu9J6xdWeYMk5I889,47,1999
5rrmaoBXZ7Jcs4Qb77j0YA,102,_
5rrmaoBXZ7Jcs4Qb77j0YA,67,2015
3PhL2Vdao2v8SS8AptuhAr,9,1998
3PhL2Vdao2v8SS8AptuhAr,63,1990
3PhL2Vdao2v8SS8AptuhAr,16,1987
3PhL2Vdao2v8SS8AptuhAr,16,1998
3PhL2Vdao2v8SS8AptuhAr,124,1998
3PhL2Vdao2v8SS8AptuhAr,32,1997
3PhL2Vdao2v8SS8AptuhAr,66,1996
